"","Address","Title","元.月","坪數","現況","押金","最短租期","樓層","型態","開伙","養寵物","可遷入日","車位","管理費","身份要求","社區","格局","法定用途","車位種類","車位類型","朝向","性別要求","隔間材料","權狀坪數","格局.1"
"38","台北市中山區南京東路二段76號","南京松江吉林-室內停車場-車位","3500","10坪","車位","一個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"謙信大樓",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"39","台北市中山區樂群二路","大直美麗華五星級飯店管理小豪宅","25000","16.01坪","獨立套房","二個月","一年","2F/9F","華廈","可以","不可以","隨時","無","1601元/月",NA,"羅馬假期","有陽臺","商業用",NA,NA,"坐北朝南","男女生皆可",NA,"16.01坪",NA
"40","台北市中山區樂群二路","頂級水岸絕佳鑑賞~21大直美麗華銷售團隊","300000","170.8坪","整層住家","面議","一年","13F/14F","電梯大樓","可以","可以","隨時","平面式停車位，已含租金內","--","上班族、家庭",NA,"4房3廳4衛4陽台","住家用",NA,NA,"坐北朝南",NA,NA,NA,NA
"41","台北市中山區樂群二路","**全新落成大直CBD萬豪酒店旁A辦**","125000","68.93坪","其他","面議","一年","4F/10F","辦公商業大樓","可以","不可以","隨時","平面式停車位，費用另計","12407元/月","學生、上班族、家庭","大直CBD時代廣場","開放式格局","依使照",NA,NA,NA,NA,NA,NA,NA
"42","台北市中山區樂群二路","使內80坪歡迎看屋","215000","80坪","其他","二個月","一年","3F/11F","電梯大樓","可以","可以","隨時","無","--","學生、上班族、家庭","大直豐匯","開放式格局","商業用",NA,NA,"坐北朝南",NA,NA,"134坪",NA
"43","台北市文山區羅斯福路五段245號","萬隆捷運共構~到站即到家~獨立套房","18000","12.71坪","獨立套房","二個月","一年","3F/17F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","八達通環遊市萬隆站","有陽臺",NA,NA,NA,"坐南朝北","男女生皆可",NA,NA,NA
"44","台北市士林區士東路266巷5弄19號","士東路套房7500、雅房5000出租","5000","5坪","雅房","面議","一年","B1/5F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"45","台北市士林區福港街","劍潭站格局方正裝璜新寬頻套房","8800","6坪","分租套房","二個月","一年","5F/5F","公寓","不可以","不可以","隨時","無",NA,NA,NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"46","台北市士林區福港街","近劍潭捷運公園優質裝潢新","8500","6坪","分租套房","二個月","一年","4F/4F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"47","台北市中正區金門街12巷","中正區金門街獨棟電梯大樓","15000","19坪","整層住家","面議","一年","4F/7F","公寓","可以","可以","隨時","無","--",NA,NA,"2房1廳1衛1陽台",NA,NA,NA,NA,NA,NA,NA,NA
"48","台北市中山區新生北路二段33巷7號","新生北路晶華官邸景觀花園小豪宅(B)","17000","8坪","獨立套房","二個月","一年","1F/6F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","--",NA,"晶華官邸",NA,NA,NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"49","台北市大同區哈密街59巷18弄34號","哈密街吉屋出租（誠可議）","25000","23坪","整層住家","二個月","一年","2F/5F","公寓","可以","可以","隨時",NA,"--",NA,NA,"3房2廳1衛1陽台",NA,NA,NA,NA,NA,NA,NA,NA
"50","台北市士林區重慶北路四段","社子重慶北路分租雅房一間","7000","8坪","雅房","二個月","一年","4F/4F","公寓","可以","不可以","隨時","無",NA,NA,NA,"開放式格局",NA,NA,NA,NA,"男生",NA,NA,NA
"51","台北市士林區重慶北路四段","公寓一樓~歡迎不想爬樓梯的房客","7500","4坪","獨立套房","二個月","一年","1F/5F","公寓","可以","可以","隨時","無","無","學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"52","台北市南港區忠孝東路七段529號","忠孝東路上便宜套房","8500","5坪","分租套房","二個月","一年","3F/6F","公寓","可以","可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"53","台北市大同區民權西路","近捷運民權西路站兩房，適單身頂客或小家庭","24000","26坪","整層住家","二個月","一年","13F/18F","電梯大樓","可以","不可以","隨時","無","2250元/月","上班族、家庭","大同世界","2房1廳1衛0陽台",NA,NA,NA,NA,NA,NA,NA,NA
"54","台北市大同區民權西路","18坪2房1廳","16000","18坪","整層住家","二個月","一年","3F/4F","透天厝","可以","可以","隨時","無","--","學生、上班族、家庭",NA,"2房1廳1衛0陽台",NA,NA,NA,"坐南朝北",NA,NA,NA,NA
"55","台北市萬華區成都路","近西門捷運,可只租一個月","17000","7坪","分租套房","面議","1月","7F/13F","電梯大樓","可以","可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"56","台北市大安區師大路","部落格景觀樓","21000","10.5坪","獨立套房","二個月","一年","9F/9F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","部落格","樓中樓、有陽臺","住家用",NA,NA,"坐北朝南","男女生皆可",NA,"10.5坪",NA
"57","台北市大安區師大路","部落格景觀101一房","20000","9.08坪","獨立套房","二個月","一年","3F/9F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","師大部落格","樓中樓","住家用",NA,NA,"坐北朝南","男女生皆可",NA,"9.08坪",NA
"58","台北市大安區師大路","，管理良好，安全性高-優質單純女學生公寓","10000","4坪","雅房","二個月","一年","4F/4F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,"有陽臺",NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"59","台北市大安區師大路","部落格景觀101及公園","21000","9.08坪","獨立套房","二個月","一年","8F/9F","公寓","可以","不可以","隨時","無","--","學生、上班族、家庭","師大部落格","有陽臺","住家用",NA,NA,"坐西朝東","男女生皆可",NA,"9.08坪",NA
"60","台北市大安區師大路","部落格景觀樓套房,近師大,台電","21000","10.5坪","獨立套房","面議","一年","9F/9F","電梯大樓","不可以","不可以","隨時","無","--","學生、上班族、家庭",NA,NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"61","台北市南港區南港路三段16巷2號","<優質出租>近昆陽捷運站","25000","40坪","整層住家","二個月","一年","2F/2F","透天厝","可以","不可以","隨時","無","無","學生、上班族、家庭",NA,"5房2廳1衛1陽台",NA,NA,NA,NA,NA,NA,NA,NA
"62","台北市中山區民生東路一段29號","精華地段精緻公寓全面翻新","25500","24坪","整層住家","面議","一年","7F/12F","公寓","可以","不可以","隨時","無","1840元/月","上班族、家庭",NA,"2房1廳1衛1陽台",NA,NA,NA,"坐東南朝西北",NA,NA,NA,NA
"63","台北市士林區基河路","近劍潭捷運、士林捷運站，生活機能佳","13000","8坪","分租套房","二個月","一年","11F/14F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"64","台北市中山區林森北路","林森北路南京東路口獨立套房","11000","5坪","獨立套房","面議","一年","9F/12F","電梯大樓","不可以","不可以","隨時","無","--","上班族",NA,"有陽臺",NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"65","台北市中山區林森北路","I-MORE明亮住辦合一出租RA89","26000","17.54坪","獨立套房","二個月","一年","7F/14F","電梯大樓","可以","不可以","隨時","無","1855元/月","學生、上班族、家庭","i-MORE","樓中樓","住家用",NA,NA,NA,"男女生皆可",NA,"17.54坪",NA
"66","台北市中山區林森北路","簡約米色系挑高美宅出租RM22","23000","14.34坪","獨立套房","二個月","一年","5F/14F","電梯大樓","可以","不可以","隨時","無","1577元/月","學生、上班族、家庭","Amour2","有陽臺","一般事務所",NA,NA,"坐東朝西","男女生皆可",NA,"14.34坪",NA
"67","台北市中山區林森北路","Amour2典雅時尚高挑美宅出租RM23","31000","14.34坪","獨立套房","二個月","一年","8F/14F","電梯大樓","可以","不可以","隨時","無","1577元/月","學生、上班族、家庭","Amour2","樓中樓、有陽臺","一般事務所",NA,NA,"坐東朝西","男女生皆可",NA,"14.34坪",NA
"68","台北市中山區林森北路","中山國小捷運旁/2+1房溫馨/近捷運","30000","13.61坪","整層住家","二個月","一年","3F/14F","電梯大樓","可以","可以","隨時","機械式停車位，費用另計","1400元/月","學生、上班族、家庭",".","3房1廳1衛0陽台","商業用",NA,NA,NA,NA,NA,NA,NA
"69","台北市中山區林森北路","★捷運中山國小★優質1房~家具全~機能佳","29999","13.61坪","整層住家","二個月","一年","3F/14F","電梯大樓","可以","不可以","隨時","無","1360元/月",NA,"依現場社區名稱","1房1廳1衛0陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"70","台北市中山區林森北路","林森北優質套房","14000","9.15坪","獨立套房","二個月","一年","14F/14F","電梯大樓","不可以","不可以","隨時","無","--","學生、上班族、家庭","台北京宴",NA,"住家用",NA,NA,"坐西朝東","男女生皆可",NA,"9.15坪",NA
"71","台北市中山區林森北路","中山國小林森北平面車位","3900","11.5坪","車位","二個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"智慧大樓",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"72","台北市中山區林森北路","晴光商圈美套房","13000","10坪","分租套房","二個月","一年","6F/11F","電梯大樓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,"有陽臺",NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"73","台北市北投區榮華一路2巷","榮華獨立套房","16800","9坪","獨立套房","二個月","一年","4F/5F","華廈","可以","不可以","隨時","無","--",NA,NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"74","台北市大安區辛亥路一段","台電大樓捷運4房高樓層","50000","49.5坪","整層住家","二個月","一年","8F/27F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計","2951元/月","學生、上班族、家庭","依現場標示","4房2廳2衛2陽台","住家用",NA,NA,"坐北朝南",NA,NA,NA,NA
"75","台北市信義區和平東路三段","六張犁捷運大廈，氣派豪宅24時管理森巖","19500","11.09坪","獨立套房","二個月","一年","2F/14F","電梯大樓","可以","不可以","隨時","無","1333元/月","學生、上班族、家庭","敦南法拉麗","有陽臺","住家用",NA,NA,"坐東北朝西南","男女生皆可",NA,"11.09坪",NA
"76","台北市南港區松河街","福祿壽庭園居0921103849傅小姐","80000","78.8坪","整層住家","二個月","一年","1F/9F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計","7880元/月","上班族、家庭","南港社區","3房2廳3衛1陽台","住家用",NA,NA,"坐南朝北",NA,NA,"78.8坪",NA
"77","台北市南港區松河街","松河街大三房平面車位~有裝潢~松山火車站","55000","82坪","整層住家","二個月","兩年","2F/9F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","12290元/月","學生、上班族、家庭","久陽鼎峰","3房2廳3衛2陽台","工業用",NA,NA,NA,NA,NA,NA,NA
"78","台北市中山區南京東路二段186號","鄉林京華裝潢屋","65000","28坪","整層住家","二個月","一年","8F/15F","電梯大樓","可以","可以","隨時","無","--","學生、上班族、家庭","鄉林京華","3房2廳2衛1陽台","住家用",NA,NA,"坐南朝北",NA,NA,"41坪",NA
"79","台北市中正區南陽街","台北站前單人雅房出租(一人一房)","5500","3坪","雅房","一個月","一年","4F/4F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"80","台北市文山區興隆路三段112巷","交通便利，生活機能佳","12000","10坪","獨立套房","二個月","一年","2F/5F","公寓","不可以","不可以","隨時","無","--","學生、上班族","景福社區",NA,NA,NA,NA,NA,"女生",NA,NA,NA
"81","台北市內湖區內湖路一段411巷","內湖路一段公園旁B1坡道平面車位","4000","11.85坪","車位","面議","一年",NA,NA,NA,NA,NA,NA,NA,NA,"長虹公園館",NA,NA,"室內地下","平面式",NA,NA,NA,NA,NA
"82","台北市內湖區內湖路一段411巷","~~~~靜巷內平面\陽台\可炊~~~~","21000","13坪","獨立套房","二個月","一年","2F/9F","電梯大樓","可以","不可以","隨時","機械式停車位，費用另計","1300元/月","學生、上班族、家庭","鄰西湖公園有管理社區","有陽臺","住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"83","台北市內湖區內湖路一段411巷","雅房出租,居住環境優","8000","5坪","雅房","二個月","一年","6F/12F","電梯大樓","可以","不可以","隨時","無",NA,"學生、上班族",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"84","台北市士林區中山北路七段232巷","天母公園綠能生活","39000","53.56坪","整層住家","二個月","一年","5F/7F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","電梯大樓","3房2廳2衛2陽台","住家用",NA,NA,"坐北朝南",NA,NA,NA,NA
"85","台北市中山區農安街","基泰之星-高檔飯店式住宅出租RG30","27000","15.68坪","獨立套房","二個月","一年","6F/14F","電梯大樓","可以","不可以","隨時","無","2111元/月","學生、上班族、家庭","基泰之星","有陽臺","住家用",NA,NA,NA,"男女生皆可",NA,"15.68坪",NA
"86","台北市中山區農安街","基泰之星-美麗景觀大套房出租RG37","32000","16.48坪","獨立套房","二個月","一年","13F/14F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","基泰之星","有陽臺","住家用",NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"87","台北市中山區農安街","基泰之星六星級飯店式社區美宅出租RG35","29000","15.39坪","獨立套房","二個月","一年","8F/14F","電梯大樓","可以","不可以","隨時","無","2386元/月","學生、上班族、家庭","基泰之星","有陽臺","住家用",NA,NA,NA,"男女生皆可",NA,"15.39坪",NA
"88","台北市中山區農安街","精品屋廚房.陽臺俱全/飯店式攜包居娛樂全","23800","15.39坪","獨立套房","二個月","一年","3F/14F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計","2066元/月","學生、上班族、家庭","基泰之星","有陽臺","商業用",NA,NA,NA,"男女生皆可",NA,NA,NA
"89","台北市內湖區康寧路三段99巷","明湖美麗花園一樓、100坪氣派樓中樓","80000","100坪","整層住家","二個月","一年","1F/5F","別墅","可以","不可以","隨時","無","無","上班族、家庭",NA,"4房3廳3衛3陽台","住家用",NA,NA,NA,NA,NA,"55坪",NA
"90","台北市內湖區康寧路三段99巷","<U+5185>湖維也納宮廷","15000","10坪","獨立套房","二個月","兩年","7F/7F","電梯大樓","可以","不可以","隨時","無","930元/月","上班族","維也納宮廷",NA,NA,NA,NA,NA,"女生",NA,NA,NA
"91","台北市中山區復興北路","<U+266C>中山國中站2房<U+2661>家具齊全<U+2661>三面採光","45000","34.13坪","整層住家","二個月","一年","7F/18F","電梯大樓","可以","可以","隨時","無","2200元/月","學生、上班族、家庭","<U+266C>中山國中站<U+2661>陽台","2房2廳2衛3陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"92","台北市中山區復興北路","南京復興站2分鐘小套房,高樓層","14000","4坪","分租套房","二個月","一年","10F/13F","電梯大樓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"93","台北市文山區木柵路三段","★近政大★優質3房~機能佳~家具全","89999","56.7坪","整層住家","二個月","一年","4F/26F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","6000元/月",NA,"依現場社區名稱","3房2廳2衛1陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"94","台北市大安區敦化南路一段233巷","三普雅舍～刺蝟的優雅","45000","32.51坪","整層住家","面議","一年","5F/10F","電梯大樓","可以","可以","隨時","無","3840元/月","學生、上班族、家庭","三普雅舍","2房2廳1衛0陽台",NA,NA,NA,NA,NA,NA,NA,NA
"95","台北市大安區敦化南路一段233巷","東區時尚美美屋","24800","13坪","獨立套房","二個月","一年","8F/10F","電梯大樓","可以","不可以","隨時","無","1560元/月","學生、上班族、家庭","三普雅舍",NA,"住家用",NA,NA,NA,"男女生皆可",NA,"13坪",NA
"96","台北市大安區永康街23巷","近東門捷運站~全新裝潢","37000","29.73坪","整層住家","二個月","一年","2F/4F","公寓","可以","可以","隨時","無","無","學生、上班族、家庭","永康街公寓","3房2廳2衛2陽台",NA,NA,NA,NA,NA,NA,NA,NA
"97","台北市南港區重陽路190巷12弄15號","明亮全新裝修家具清潔衛生俱停汽機方便","2500","2坪","雅房","二個月","半年","4F/6F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"98","台北市松山區復興北路527號","全新捷運行5分靚麗雅房寧靜舒適有對外大窗","1800","2坪","雅房","二個月","半年","2F/4F","公寓","不可以","不可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男生","水泥磚牆",NA,NA
"99","台北市中山區樂群三路","MRT/劍南路~生活機能佳~大露臺","110000","42.21坪","整層住家","二個月","一年","3F/10F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","8500元/月","上班族、家庭",NA,"4房2廳2衛2陽台","依使用執照",NA,NA,NA,NA,NA,"61.53坪",NA
